date,channel,spend
2023-02-15,Paid Social,169.16
2023-02-16,Affiliate,60.21
2023-02-16,Email,81.99
2023-02-16,Paid Search,227.61
2023-02-16,Paid Social,186.03
2023-02-17,Affiliate,72.31
2023-02-17,Email,93.12
2023-02-17,Paid Search,298.43
2023-02-17,Paid Social,227.72
2023-02-18,Affiliate,72.54
2023-02-18,Email,91.59
2023-02-18,Paid Search,286.61
2023-02-18,Paid Social,221.95
2023-02-19,Affiliate,60.29
2023-02-19,Email,77.06
2023-02-19,Paid Search,222.35
2023-02-19,Paid Social,187.58
2023-02-20,Affiliate,64.83
2023-02-20,Email,89.31
2023-02-20,Paid Search,262.81
2023-02-20,Paid Social,248.67
2023-02-21,Affiliate,68.0
2023-02-21,Email,86.93
2023-02-21,Paid Search,262.07
2023-02-21,Paid Social,214.99
2023-02-22,Affiliate,59.72
2023-02-22,Email,71.6
2023-02-22,Paid Search,220.49
2023-02-22,Paid Social,206.77
2023-02-23,Affiliate,54.17
2023-02-23,Email,86.82
2023-02-23,Paid Search,254.42
2023-02-23,Paid Social,203.82
2023-02-24,Affiliate,65.63
2023-02-24,Email,99.59
2023-02-24,Paid Search,291.95
2023-02-24,Paid Social,250.93
2023-02-25,Affiliate,63.65
2023-02-25,Email,93.6
2023-02-25,Paid Search,306.14
2023-02-25,Paid Social,225.12
2023-02-26,Affiliate,59.58
2023-02-26,Email,78.09
2023-02-26,Paid Search,275.57
2023-02-26,Paid Social,198.88
2023-02-27,Affiliate,69.55
2023-02-27,Email,90.25
2023-02-27,Paid Search,243.91
2023-02-27,Paid Social,215.01
2023-02-28,Affiliate,69.07
2023-02-28,Email,83.71
2023-02-28,Paid Search,280.46
2023-02-28,Paid Social,232.33
2023-03-01,Affiliate,72.35
2023-03-01,Email,103.77
2023-03-01,Paid Search,276.45
2023-03-01,Paid Social,205.41
2023-03-02,Affiliate,67.69
2023-03-02,Email,81.71
2023-03-02,Paid Search,251.43
2023-03-02,Paid Social,209.79
2023-03-03,Affiliate,65.73
2023-03-03,Email,93.14
2023-03-03,Paid Search,278.53
2023-03-03,Paid Social,225.12
2023-03-04,Affiliate,55.68
2023-03-04,Email,95.13
2023-03-04,Paid Search,276.14
2023-03-04,Paid Social,209.27
2023-03-05,Affiliate,60.87
2023-03-05,Email,100.7
2023-03-05,Paid Search,250.39
2023-03-05,Paid Social,189.58
2023-03-06,Affiliate,77.98
2023-03-06,Email,102.23
2023-03-06,Paid Search,306.99
2023-03-06,Paid Social,241.65
2023-03-07,Affiliate,75.95
2023-03-07,Email,90.97
2023-03-07,Paid Search,294.15
2023-03-07,Paid Social,282.42
2023-03-08,Affiliate,63.77
2023-03-08,Email,95.5
2023-03-08,Paid Search,251.2
2023-03-08,Paid Social,211.77
2023-03-09,Affiliate,73.96
2023-03-09,Email,80.2
2023-03-09,Paid Search,284.91
2023-03-09,Paid Social,222.98
2023-03-10,Affiliate,69.05
2023-03-10,Email,89.47
2023-03-10,Paid Search,295.82
2023-03-10,Paid Social,251.58
2023-03-11,Affiliate,57.31
2023-03-11,Email,91.62
2023-03-11,Paid Search,299.24
2023-03-11,Paid Social,194.69
2023-03-12,Affiliate,70.53
2023-03-12,Email,108.73
2023-03-12,Paid Search,307.0
2023-03-12,Paid Social,234.6
2023-03-13,Affiliate,77.87
2023-03-13,Email,125.7
2023-03-13,Paid Search,341.19
2023-03-13,Paid Social,249.88
2023-03-14,Affiliate,68.04
2023-03-14,Email,108.2
2023-03-14,Paid Search,255.14
2023-03-14,Paid Social,241.03
2023-03-15,Affiliate,69.42
2023-03-15,Email,105.01
2023-03-15,Paid Search,294.67
2023-03-15,Paid Social,241.27
2023-03-16,Affiliate,49.34
2023-03-16,Email,64.68
2023-03-16,Paid Search,217.21
2023-03-16,Paid Social,183.58
2023-03-17,Affiliate,60.43
2023-03-17,Email,94.78
2023-03-17,Paid Search,294.71
2023-03-17,Paid Social,225.22
2023-03-18,Affiliate,66.85
2023-03-18,Email,94.14
2023-03-18,Paid Search,294.49
2023-03-18,Paid Social,231.05
2023-03-19,Affiliate,66.26
2023-03-19,Email,105.1
2023-03-19,Paid Search,263.59
2023-03-19,Paid Social,222.95
2023-03-20,Affiliate,63.85
2023-03-20,Email,95.08
2023-03-20,Paid Search,303.16
2023-03-20,Paid Social,237.38
2023-03-21,Affiliate,50.64
2023-03-21,Email,84.06
2023-03-21,Paid Search,261.06
2023-03-21,Paid Social,198.89
2023-03-22,Affiliate,60.92
2023-03-22,Email,77.4
2023-03-22,Paid Search,251.71
2023-03-22,Paid Social,222.55
2023-03-23,Affiliate,66.53
2023-03-23,Email,80.4
2023-03-23,Paid Search,274.05
2023-03-23,Paid Social,212.34
2023-03-24,Affiliate,75.65
2023-03-24,Email,106.87
2023-03-24,Paid Search,289.7
2023-03-24,Paid Social,284.97
2023-03-25,Affiliate,62.78
2023-03-25,Email,85.79
2023-03-25,Paid Search,282.91
2023-03-25,Paid Social,229.58
2023-03-26,Affiliate,62.1
2023-03-26,Email,81.63
2023-03-26,Paid Search,236.92
2023-03-26,Paid Social,217.38
2023-03-27,Affiliate,64.73
2023-03-27,Email,88.54
2023-03-27,Paid Search,268.92
2023-03-27,Paid Social,204.93
2023-03-28,Affiliate,67.41
2023-03-28,Email,109.28
2023-03-28,Paid Search,293.8
2023-03-28,Paid Social,225.68
2023-03-29,Affiliate,66.23
2023-03-29,Email,98.37
2023-03-29,Paid Search,260.33
2023-03-29,Paid Social,225.1
2023-03-30,Affiliate,60.67
2023-03-30,Email,78.71
2023-03-30,Paid Search,269.59
2023-03-30,Paid Social,205.81
2023-03-31,Affiliate,68.72
2023-03-31,Email,89.58
2023-03-31,Paid Search,285.61
2023-03-31,Paid Social,237.17
2023-04-01,Affiliate,74.37
2023-04-01,Email,106.64
2023-04-01,Paid Search,300.17
2023-04-01,Paid Social,230.38
2023-04-02,Affiliate,75.03
2023-04-02,Email,98.59
2023-04-02,Paid Search,295.07
2023-04-02,Paid Social,269.87
2023-04-03,Affiliate,69.86
2023-04-03,Email,89.83
2023-04-03,Paid Search,263.24
2023-04-03,Paid Social,242.42
2023-04-04,Affiliate,72.44
2023-04-04,Email,96.88
2023-04-04,Paid Search,270.07
2023-04-04,Paid Social,253.27
2023-04-05,Affiliate,67.86
2023-04-05,Email,84.82
2023-04-05,Paid Search,277.15
2023-04-05,Paid Social,211.72
2023-04-06,Affiliate,53.15
2023-04-06,Email,69.97
2023-04-06,Paid Search,224.82
2023-04-06,Paid Social,188.51
2023-04-07,Affiliate,71.63
2023-04-07,Email,96.24
2023-04-07,Paid Search,284.58
2023-04-07,Paid Social,252.11
2023-04-08,Affiliate,71.8
2023-04-08,Email,99.51
2023-04-08,Paid Search,284.76
2023-04-08,Paid Social,260.26
2023-04-09,Affiliate,71.83
2023-04-09,Email,97.21
2023-04-09,Paid Search,285.97
2023-04-09,Paid Social,242.32
2023-04-10,Affiliate,65.01
2023-04-10,Email,88.85
2023-04-10,Paid Search,300.83
2023-04-10,Paid Social,240.74
2023-04-11,Affiliate,59.67
2023-04-11,Email,94.29
2023-04-11,Paid Search,262.25
2023-04-11,Paid Social,198.0
2023-04-12,Affiliate,67.75
2023-04-12,Email,88.75
2023-04-12,Paid Search,268.93
2023-04-12,Paid Social,203.67
2023-04-13,Affiliate,55.71
2023-04-13,Email,89.25
2023-04-13,Paid Search,267.2
2023-04-13,Paid Social,220.07
2023-04-14,Affiliate,73.52
2023-04-14,Email,90.03
2023-04-14,Paid Search,297.96
2023-04-14,Paid Social,214.92
2023-04-15,Affiliate,70.87
2023-04-15,Email,100.94
2023-04-15,Paid Search,288.73
2023-04-15,Paid Social,250.8
2023-04-16,Affiliate,74.15
2023-04-16,Email,106.86
2023-04-16,Paid Search,281.22
2023-04-16,Paid Social,248.42
2023-04-17,Affiliate,88.3
2023-04-17,Email,122.24
2023-04-17,Paid Search,285.47
2023-04-17,Paid Social,275.29
2023-04-18,Affiliate,68.83
2023-04-18,Email,105.4
2023-04-18,Paid Search,294.83
2023-04-18,Paid Social,215.63
2023-04-19,Affiliate,54.52
2023-04-19,Email,86.42
2023-04-19,Paid Search,266.42
2023-04-19,Paid Social,222.17
2023-04-20,Affiliate,65.42
2023-04-20,Email,89.32
2023-04-20,Paid Search,287.05
2023-04-20,Paid Social,199.3
2023-04-21,Affiliate,59.34
2023-04-21,Email,83.58
2023-04-21,Paid Search,270.62
2023-04-21,Paid Social,193.89
2023-04-22,Affiliate,64.6
2023-04-22,Email,97.39
2023-04-22,Paid Search,282.06
2023-04-22,Paid Social,235.72
2023-04-23,Affiliate,76.84
2023-04-23,Email,100.09
2023-04-23,Paid Search,301.17
2023-04-23,Paid Social,231.07
2023-04-24,Affiliate,74.39
2023-04-24,Email,98.83
2023-04-24,Paid Search,382.49
2023-04-24,Paid Social,275.46
2023-04-25,Affiliate,67.8
2023-04-25,Email,99.31
2023-04-25,Paid Search,314.98
2023-04-25,Paid Social,207.69
2023-04-26,Affiliate,66.88
2023-04-26,Email,87.01
2023-04-26,Paid Search,274.83
2023-04-26,Paid Social,222.31
2023-04-27,Affiliate,64.28
2023-04-27,Email,91.94
2023-04-27,Paid Search,266.33
2023-04-27,Paid Social,233.92
2023-04-28,Affiliate,68.83
2023-04-28,Email,78.2
2023-04-28,Paid Search,247.85
2023-04-28,Paid Social,227.09
2023-04-29,Affiliate,68.72
2023-04-29,Email,119.8
2023-04-29,Paid Search,332.78
2023-04-29,Paid Social,261.06
2023-04-30,Affiliate,68.09
2023-04-30,Email,97.73
2023-04-30,Paid Search,301.07
2023-04-30,Paid Social,248.31
2023-05-01,Affiliate,72.45
2023-05-01,Email,113.12
2023-05-01,Paid Search,292.53
2023-05-01,Paid Social,248.84
2023-05-02,Affiliate,72.93
2023-05-02,Email,84.59
2023-05-02,Paid Search,231.41
2023-05-02,Paid Social,221.51
2023-05-03,Affiliate,68.56
2023-05-03,Email,106.19
2023-05-03,Paid Search,290.97
2023-05-03,Paid Social,234.86
2023-05-04,Affiliate,53.17
2023-05-04,Email,70.3
2023-05-04,Paid Search,239.65
2023-05-04,Paid Social,191.33
2023-05-05,Affiliate,66.41
2023-05-05,Email,105.68
2023-05-05,Paid Search,313.34
2023-05-05,Paid Social,232.17
2023-05-06,Affiliate,79.89
2023-05-06,Email,108.02
2023-05-06,Paid Search,348.1
2023-05-06,Paid Social,283.1
2023-05-07,Affiliate,62.51
2023-05-07,Email,84.75
2023-05-07,Paid Search,273.42
2023-05-07,Paid Social,220.18
2023-05-08,Affiliate,60.4
2023-05-08,Email,85.47
2023-05-08,Paid Search,244.98
2023-05-08,Paid Social,221.57
2023-05-09,Affiliate,69.93
2023-05-09,Email,98.36
2023-05-09,Paid Search,269.85
2023-05-09,Paid Social,226.85
2023-05-10,Affiliate,59.14
2023-05-10,Email,80.39
2023-05-10,Paid Search,253.08
2023-05-10,Paid Social,209.96
2023-05-11,Affiliate,54.07
2023-05-11,Email,78.46
2023-05-11,Paid Search,218.07
2023-05-11,Paid Social,180.57
2023-05-12,Affiliate,60.25
2023-05-12,Email,107.01
2023-05-12,Paid Search,290.07
2023-05-12,Paid Social,223.19
2023-05-13,Affiliate,56.36
2023-05-13,Email,87.98
2023-05-13,Paid Search,252.25
2023-05-13,Paid Social,224.96
2023-05-14,Affiliate,69.37
2023-05-14,Email,97.63
2023-05-14,Paid Search,278.41
2023-05-14,Paid Social,278.11
2023-05-15,Affiliate,59.38
2023-05-15,Email,103.13
2023-05-15,Paid Search,253.21
2023-05-15,Paid Social,197.83
2023-05-16,Affiliate,76.34
2023-05-16,Email,102.6
2023-05-16,Paid Search,337.48
2023-05-16,Paid Social,263.32
2023-05-17,Affiliate,57.27
2023-05-17,Email,73.5
2023-05-17,Paid Search,272.98
2023-05-17,Paid Social,192.18
2023-05-18,Affiliate,67.17
2023-05-18,Email,83.97
2023-05-18,Paid Search,258.73
2023-05-18,Paid Social,224.35
2023-05-19,Affiliate,69.37
2023-05-19,Email,109.77
2023-05-19,Paid Search,296.22
2023-05-19,Paid Social,228.31
2023-05-20,Affiliate,55.77
2023-05-20,Email,84.18
2023-05-20,Paid Search,244.69
2023-05-20,Paid Social,230.48
2023-05-21,Affiliate,72.46
2023-05-21,Email,99.63
2023-05-21,Paid Search,295.66
2023-05-21,Paid Social,238.83
2023-05-22,Affiliate,80.03
2023-05-22,Email,123.91
2023-05-22,Paid Search,309.25
2023-05-22,Paid Social,243.38
2023-05-23,Affiliate,59.0
2023-05-23,Email,80.02
2023-05-23,Paid Search,247.15
2023-05-23,Paid Social,214.88
2023-05-24,Affiliate,60.94
2023-05-24,Email,86.79
2023-05-24,Paid Search,282.57
2023-05-24,Paid Social,211.07
2023-05-25,Affiliate,61.71
2023-05-25,Email,91.7
2023-05-25,Paid Search,257.09
2023-05-25,Paid Social,203.46
2023-05-26,Affiliate,68.84
2023-05-26,Email,95.11
2023-05-26,Paid Search,285.46
2023-05-26,Paid Social,245.46
2023-05-27,Affiliate,65.38
2023-05-27,Email,85.73
2023-05-27,Paid Search,254.03
2023-05-27,Paid Social,215.01
2023-05-28,Affiliate,64.28
2023-05-28,Email,79.98
2023-05-28,Paid Search,237.42
2023-05-28,Paid Social,207.36
2023-05-29,Affiliate,68.88
2023-05-29,Email,97.83
2023-05-29,Paid Search,272.03
2023-05-29,Paid Social,239.86
2023-05-30,Affiliate,64.6
2023-05-30,Email,103.03
2023-05-30,Paid Search,273.69
2023-05-30,Paid Social,252.34
2023-05-31,Affiliate,58.16
2023-05-31,Email,80.79
2023-05-31,Paid Search,268.28
2023-05-31,Paid Social,229.94
2023-06-01,Affiliate,48.41
2023-06-01,Email,73.75
2023-06-01,Paid Search,225.24
2023-06-01,Paid Social,184.9
2023-06-02,Affiliate,58.48
2023-06-02,Email,77.39
2023-06-02,Paid Search,235.4
2023-06-02,Paid Social,182.88
2023-06-03,Affiliate,59.21
2023-06-03,Email,82.99
2023-06-03,Paid Search,249.37
2023-06-03,Paid Social,186.09
2023-06-04,Affiliate,56.38
2023-06-04,Email,76.98
2023-06-04,Paid Search,252.97
2023-06-04,Paid Social,196.55
2023-06-05,Affiliate,64.98
2023-06-05,Email,72.7
2023-06-05,Paid Search,201.36
2023-06-05,Paid Social,186.72
2023-06-06,Affiliate,65.84
2023-06-06,Email,92.1
2023-06-06,Paid Search,283.85
2023-06-06,Paid Social,235.58
2023-06-07,Affiliate,48.38
2023-06-07,Email,69.94
2023-06-07,Paid Search,216.51
2023-06-07,Paid Social,188.91
2023-06-08,Affiliate,43.92
2023-06-08,Email,63.58
2023-06-08,Paid Search,183.74
2023-06-08,Paid Social,170.55
2023-06-09,Affiliate,63.51
2023-06-09,Email,81.9
2023-06-09,Paid Search,224.61
2023-06-09,Paid Social,203.73
2023-06-10,Affiliate,56.0
2023-06-10,Email,69.14
2023-06-10,Paid Search,209.55
2023-06-10,Paid Social,195.75
2023-06-11,Affiliate,64.56
2023-06-11,Email,85.77
2023-06-11,Paid Search,244.73
2023-06-11,Paid Social,225.52
2023-06-12,Affiliate,68.06
2023-06-12,Email,80.44
2023-06-12,Paid Search,231.36
2023-06-12,Paid Social,215.35
2023-06-13,Affiliate,53.22
2023-06-13,Email,76.86
2023-06-13,Paid Search,201.24
2023-06-13,Paid Social,191.17
2023-06-14,Affiliate,58.98
2023-06-14,Email,72.49
2023-06-14,Paid Search,212.79
2023-06-14,Paid Social,191.21
2023-06-15,Affiliate,49.36
2023-06-15,Email,79.52
2023-06-15,Paid Search,232.45
2023-06-15,Paid Social,187.47
2023-06-16,Affiliate,62.02
2023-06-16,Email,79.38
2023-06-16,Paid Search,251.9
2023-06-16,Paid Social,212.43
2023-06-17,Affiliate,71.28
2023-06-17,Email,90.98
2023-06-17,Paid Search,247.53
2023-06-17,Paid Social,227.55
2023-06-18,Affiliate,60.18
2023-06-18,Email,68.53
2023-06-18,Paid Search,228.56
2023-06-18,Paid Social,186.93
2023-06-19,Affiliate,61.26
2023-06-19,Email,84.85
2023-06-19,Paid Search,205.55
2023-06-19,Paid Social,176.82
2023-06-20,Affiliate,52.28
2023-06-20,Email,68.58
2023-06-20,Paid Search,203.87
2023-06-20,Paid Social,174.94
2023-06-21,Affiliate,47.06
2023-06-21,Email,68.41
2023-06-21,Paid Search,196.0
2023-06-21,Paid Social,166.26
2023-06-22,Affiliate,50.69
2023-06-22,Email,71.9
2023-06-22,Paid Search,214.59
2023-06-22,Paid Social,171.08
2023-06-23,Affiliate,53.18
2023-06-23,Email,78.09
2023-06-23,Paid Search,243.8
2023-06-23,Paid Social,209.26
2023-06-24,Affiliate,57.05
2023-06-24,Email,88.86
2023-06-24,Paid Search,222.46
2023-06-24,Paid Social,203.72
2023-06-25,Affiliate,56.17
2023-06-25,Email,87.25
2023-06-25,Paid Search,267.48
2023-06-25,Paid Social,193.04
2023-06-26,Affiliate,55.51
2023-06-26,Email,80.98
2023-06-26,Paid Search,239.76
2023-06-26,Paid Social,188.45
2023-06-27,Affiliate,63.88
2023-06-27,Email,82.87
2023-06-27,Paid Search,282.47
2023-06-27,Paid Social,218.47
2023-06-28,Affiliate,56.07
2023-06-28,Email,65.13
2023-06-28,Paid Search,225.27
2023-06-28,Paid Social,159.98
2023-06-29,Affiliate,59.23
2023-06-29,Email,91.71
2023-06-29,Paid Search,224.98
2023-06-29,Paid Social,213.92
2023-06-30,Affiliate,60.35
2023-06-30,Email,86.01
2023-06-30,Paid Search,243.11
2023-06-30,Paid Social,216.58
2023-07-01,Affiliate,49.62
2023-07-01,Email,66.65
2023-07-01,Paid Search,208.6
2023-07-01,Paid Social,154.24
2023-07-02,Affiliate,47.32
2023-07-02,Email,62.58
2023-07-02,Paid Search,192.13
2023-07-02,Paid Social,151.01
2023-07-03,Affiliate,55.14
2023-07-03,Email,70.76
2023-07-03,Paid Search,236.4
2023-07-03,Paid Social,167.9
2023-07-04,Affiliate,45.8
2023-07-04,Email,68.1
2023-07-04,Paid Search,213.87
2023-07-04,Paid Social,161.7
2023-07-05,Affiliate,46.0
2023-07-05,Email,64.9
2023-07-05,Paid Search,194.89
2023-07-05,Paid Social,164.89
2023-07-06,Affiliate,43.26
2023-07-06,Email,68.83
2023-07-06,Paid Search,185.74
2023-07-06,Paid Social,157.23
2023-07-07,Affiliate,48.17
2023-07-07,Email,72.86
2023-07-07,Paid Search,198.24
2023-07-07,Paid Social,162.29
2023-07-08,Affiliate,48.5
2023-07-08,Email,65.83
2023-07-08,Paid Search,172.0
2023-07-08,Paid Social,151.48
2023-07-09,Affiliate,51.48
2023-07-09,Email,54.68
2023-07-09,Paid Search,169.18
2023-07-09,Paid Social,150.58
2023-07-10,Affiliate,50.75
2023-07-10,Email,64.2
2023-07-10,Paid Search,185.59
2023-07-10,Paid Social,155.46
2023-07-11,Affiliate,52.56
2023-07-11,Email,67.06
2023-07-11,Paid Search,227.25
2023-07-11,Paid Social,168.42
2023-07-12,Affiliate,48.42
2023-07-12,Email,70.68
2023-07-12,Paid Search,196.02
2023-07-12,Paid Social,177.19
2023-07-13,Affiliate,39.06
2023-07-13,Email,52.09
2023-07-13,Paid Search,159.1
2023-07-13,Paid Social,142.56
2023-07-14,Affiliate,49.34
2023-07-14,Email,62.81
2023-07-14,Paid Search,200.29
2023-07-14,Paid Social,188.95
2023-07-15,Affiliate,50.74
2023-07-15,Email,75.52
2023-07-15,Paid Search,214.44
2023-07-15,Paid Social,181.31
2023-07-16,Affiliate,41.14
2023-07-16,Email,71.94
2023-07-16,Paid Search,216.77
2023-07-16,Paid Social,142.49
2023-07-17,Affiliate,50.53
2023-07-17,Email,66.49
2023-07-17,Paid Search,208.86
2023-07-17,Paid Social,179.87
2023-07-18,Affiliate,46.58
2023-07-18,Email,72.6
2023-07-18,Paid Search,203.21
2023-07-18,Paid Social,169.78
2023-07-19,Affiliate,46.05
2023-07-19,Email,53.09
2023-07-19,Paid Search,171.53
2023-07-19,Paid Social,151.3
2023-07-20,Affiliate,54.61
2023-07-20,Email,61.02
2023-07-20,Paid Search,183.99
2023-07-20,Paid Social,161.15
2023-07-21,Affiliate,47.66
2023-07-21,Email,78.21
2023-07-21,Paid Search,192.14
2023-07-21,Paid Social,189.11
2023-07-22,Affiliate,48.16
2023-07-22,Email,70.44
2023-07-22,Paid Search,233.44
2023-07-22,Paid Social,178.06
2023-07-23,Affiliate,58.97
2023-07-23,Email,78.2
2023-07-23,Paid Search,209.47
2023-07-23,Paid Social,197.51
2023-07-24,Affiliate,44.66
2023-07-24,Email,63.99
2023-07-24,Paid Search,181.02
2023-07-24,Paid Social,142.62
2023-07-25,Affiliate,50.77
2023-07-25,Email,67.16
2023-07-25,Paid Search,206.74
2023-07-25,Paid Social,141.9
2023-07-26,Affiliate,40.89
2023-07-26,Email,68.33
2023-07-26,Paid Search,181.43
2023-07-26,Paid Social,145.39
2023-07-27,Affiliate,44.55
2023-07-27,Email,55.48
2023-07-27,Paid Search,198.99
2023-07-27,Paid Social,171.16
2023-07-28,Affiliate,54.53
2023-07-28,Email,68.57
2023-07-28,Paid Search,232.76
2023-07-28,Paid Social,183.16
2023-07-29,Affiliate,59.48
2023-07-29,Email,92.4
2023-07-29,Paid Search,290.56
2023-07-29,Paid Social,198.82
2023-07-30,Affiliate,57.44
2023-07-30,Email,77.19
2023-07-30,Paid Search,198.69
2023-07-30,Paid Social,184.57
2023-07-31,Affiliate,49.47
2023-07-31,Email,70.07
2023-07-31,Paid Search,236.59
2023-07-31,Paid Social,177.24
2023-08-01,Affiliate,54.85
2023-08-01,Email,76.4
2023-08-01,Paid Search,228.96
2023-08-01,Paid Social,186.07
2023-08-02,Affiliate,45.79
2023-08-02,Email,75.05
2023-08-02,Paid Search,208.48
2023-08-02,Paid Social,179.38
2023-08-03,Affiliate,46.83
2023-08-03,Email,58.82
2023-08-03,Paid Search,200.19
2023-08-03,Paid Social,144.24
